housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,house_id
49.0,1200.0,364.0,1448.0,318.0,1.1094,52500.0,INLAND,16181
28.0,1346.0,291.0,1575.0,278.0,3.425,159500.0,<1H OCEAN,10929
12.0,961.0,342.0,315.0,201.0,0.813,275000.0,<1H OCEAN,15539
35.0,8814.0,1307.0,3450.0,1258.0,6.1724,414300.0,NEAR BAY,9343
26.0,1625.0,440.0,533.0,414.0,1.808,58500.0,<1H OCEAN,11532
52.0,1180.0,216.0,467.0,197.0,4.9615,292200.0,NEAR BAY,9348
10.0,972.0,212.0,773.0,219.0,1.3125,135700.0,INLAND,12121
28.0,3520.0,672.0,1746.0,602.0,4.9236,273500.0,NEAR OCEAN,16804
40.0,2124.0,370.0,998.0,372.0,5.3369,370400.0,<1H OCEAN,5737
36.0,4297.0,717.0,2038.0,700.0,5.2851,258800.0,<1H OCEAN,6915
9.0,1282.0,334.0,1176.0,305.0,2.6538,206300.0,NEAR BAY,15882
31.0,1673.0,382.0,1734.0,400.0,2.0833,48300.0,INLAND,16276
9.0,4609.0,798.0,2582.0,746.0,4.3429,173900.0,<1H OCEAN,15350
5.0,3634.0,718.0,1317.0,743.0,4.2917,227900.0,<1H OCEAN,20348
16.0,3217.0,,2054.0,687.0,4.2234,162100.0,<1H OCEAN,14522
52.0,2226.0,385.0,1177.0,416.0,4.8516,323800.0,NEAR OCEAN,16074
4.0,1764.0,220.0,705.0,224.0,8.3275,384200.0,<1H OCEAN,10521
5.0,3634.0,718.0,1317.0,743.0,4.2917,227900.0,<1H OCEAN,20348
16.0,7718.0,1423.0,4383.0,1394.0,4.0693,146400.0,<1H OCEAN,15114
52.0,1560.0,353.0,670.0,287.0,1.7411,98400.0,NEAR BAY,18902
36.0,6026.0,852.0,2314.0,892.0,7.8997,500001.0,NEAR OCEAN,16885
26.0,2435.0,346.0,1088.0,350.0,5.9397,249400.0,<1H OCEAN,11102
