longitude,latitude,house_id
-117.72,33.64,10559
-117.35,33.64,12194
-118.12,34.19,6558
-117.16,32.74,14342
-118.22,34.05,4498
-116.89,33.75,12267
-122.14,40.07,19765
-118.12,33.95,7697
-119.65,36.34,3213
-117.93,33.68,10837
-117.68,34.09,13267
-121.26,38.68,12990
-121.89,37.67,970
-120.45,37.32,9593
-117.27,33.22,15415
-121.6,37.09,18483
-118.44,34.04,5344
-117.9,33.74,10935
-117.68,33.48,10487
-118.45,34.0,5479
-123.58,39.66,9459
-121.87,37.23,18391
-119.04,35.41,2820
-121.95,37.74,1548
-116.92,33.63,12227
-115.6,33.04,2675
-122.95,39.13,3266
-118.18,33.87,7984
-121.46,38.51,12657
-119.03,35.35,2959
-117.14,32.75,14040
-117.01,34.9,13810
-118.31,33.87,8685
-117.95,34.02,6280
-122.54,37.91,9393
-117.57,33.87,12053
-118.12,33.91,7823
-118.36,34.21,3693
-117.64,34.08,13299
-119.63,36.7,2361
-122.39,37.72,15897
-117.12,32.69,14271
-118.38,33.83,8663
-122.0,37.4,17880
-121.29,38.6,13062
-118.3,33.93,8486
-120.41,34.96,17384
-121.62,39.5,1173
-121.03,37.67,19501
-118.17,34.1,6786
-121.77,37.22,18399
-122.09,37.41,18228
-121.44,37.7,16568
-121.73,38.0,1261
-117.03,34.07,13770
-122.33,37.94,1763
-118.21,34.08,4441
-119.57,34.38,17308
-117.26,33.02,15262
-117.36,34.0,11876
-121.92,36.61,9814
-121.44,38.54,12572
-120.45,39.8,11854
-118.5,34.25,3598
-121.44,38.53,12579
-117.9,36.95,2795
-122.45,37.71,16046
-117.9,34.06,6213
-120.94,39.32,10060
-117.25,32.74,14382
-117.38,33.98,11885
-119.22,34.28,20214
-121.18,37.99,16407
-118.31,33.88,8509
-122.4,37.68,16736
-121.23,37.81,16550
-121.48,38.61,12821
-121.0,37.66,19497
-121.32,39.43,20639
-122.35,40.56,18738
-122.23,37.77,525
-118.23,33.78,5619
-117.65,33.48,10459
-118.44,34.04,5343
-116.83,34.25,13973
-120.87,37.64,19580
-122.27,37.8,90
-120.59,38.76,1967
-118.67,34.16,9014
-119.89,34.44,17475
-118.42,34.29,5906
-118.49,34.27,3521
-122.42,37.78,15742
-122.47,37.75,15998
-118.06,33.98,6957
-120.64,35.26,16650
-118.05,33.99,6961
-117.06,32.57,14752
-122.01,37.27,18079
-118.09,34.15,6681
-118.0,34.14,6424
-118.35,34.04,4761
-120.87,37.76,19385
-117.88,33.77,10964
-121.43,38.53,12578
-121.57,39.16,20595
-122.91,39.06,3273
-121.09,38.97,11819
-117.2,32.76,14346
-122.04,36.95,18557
-122.31,37.99,1711
-120.63,35.27,16651
-121.96,37.28,18014
-116.85,34.25,13972
-122.04,38.25,18960
-118.32,34.11,4242
-116.91,33.75,12268
-117.91,33.64,10789
-122.07,37.35,18278
-117.22,33.81,12145
-117.8,33.85,10314
-117.2,32.79,14643
-118.43,34.17,3857
-121.0,37.25,9632
-117.28,33.04,15266
-122.3,37.87,442
-121.29,38.01,16384
-121.34,38.67,12884
-119.78,36.78,2152
-117.03,32.74,14989
-117.9,33.73,10934
-117.35,33.96,11899
-117.02,32.64,14939
-121.97,36.97,18657
-118.34,34.03,4774
-117.93,34.09,6170
-118.11,33.9,7820
-116.95,32.82,15101
-122.18,37.7,628
-118.19,33.78,8215
-121.47,38.57,12491
-122.47,37.69,16772
-117.92,33.91,10149
-122.34,40.57,18703
-119.75,34.45,17196
-117.97,34.07,6142
